category,geocoded_address,latitude,longitude,name,neighborhood,original_address
Trader Joe's,"500 Boylston St, Boston, MA",42.3514,-71.0733,Trader Joe's (Back Bay),Back Bay,"500 Boylston St, Boston, MA 02116"
Trader Joe's,"1121 Washington St, Newton, MA",42.3483,-71.2062,Trader Joe's (Newton),Newton,"1121 Washington St, Newton, MA 02465"
Trader Joe's,"51 Middlesex Turnpike, Burlington, MA",42.4836,-71.2055,Trader Joe's (Burlington),Burlington,"51 Middlesex Turnpike, Burlington, MA 01803"
Trader Joe's,"958 Highland Ave, Needham, MA",42.2834,-71.2359,Trader Joe's (Needham),Needham,"958 Highland Ave, Needham, MA 02494"
Trader Joe's,"1427 Massachusetts Ave, Arlington, MA",42.4017,-71.1389,Trader Joe's (Arlington),Arlington,"1427 Massachusetts Ave, Arlington, MA 02476"
Trader Joe's,"358 Broadway, Saugus, MA",42.4655,-71.0143,Trader Joe's (Saugus),Saugus,"358 Broadway, Saugus, MA 01906"
Trader Joe's,"5 Essington Dr, Hingham, MA",42.1791,-70.9108,Trader Joe's (Hingham),Hingham,"5 Essington Dr, Hingham, MA 02043"
Trader Joe's,"145 Great Rd, Acton, MA",42.4842,-71.4146,Trader Joe's (Acton),Acton,"145 Great Rd, Acton, MA 01720"
Trader Joe's,"659 Worcester Rd, Framingham, MA",42.3014,-71.3947,Trader Joe's (Framingham),Framingham,"659 Worcester Rd, Framingham, MA 01701"
Trader Joe's,"300 Andover St, Peabody, MA",42.5308,-70.9625,Trader Joe's (Peabody),Peabody,"300 Andover St, Peabody, MA 01960"
Trader Joe's,"230 Fortune Blvd, Milford, MA",42.1614,-71.5296,Trader Joe's (Milford),Milford,"230 Fortune Blvd, Milford, MA 01757"
Trader Joe's,"1775 Washington St, Hanover, MA",42.1174,-70.8559,Trader Joe's (Hanover),Hanover,"1775 Washington St, Hanover, MA 02339"
Trader Joe's,"350 Patriot Pl, Foxborough, MA",42.0924,-71.2664,Trader Joe's (Foxborough),Foxborough,"350 Patriot Pl, Foxborough, MA 02035"
